method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed,track,noise_level
pinn_weak_tapered,inference_seconds_per_trajectory,0.0004801975592272,0.00044667760007236423,0.0005220265242678192,10000,2026,known_physics_forward_surrogate,0.0
solver_oracle,inference_seconds_per_trajectory,0.07747707551073589,0.07607073410671238,0.07884003591289605,10000,2026,known_physics_forward_surrogate,0.0
pinn_strong,vpt_restricted_lt,0.26933921949403156,0.2543674718035695,0.28460224308291654,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak,vpt_restricted_lt,0.18213009750044176,0.16857607488521387,0.1957462050560438,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak_tapered,vpt_restricted_lt,0.15808110335513614,0.1481472750217797,0.16834783542050047,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,vpt_restricted_lt,5.005616158244253,5.005616158244131,5.005616158244131,10000,2026,known_physics_forward_surrogate,0.001
pinn_strong,nrmse_auc_0_1LT,1.1782642846962517,1.1591961093771852,1.1967729924189763,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak,nrmse_auc_0_1LT,1.2127279747403727,1.1993038069078479,1.2274562200124768,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak_tapered,nrmse_auc_0_1LT,1.1501510238664816,1.1330731413770938,1.1667703614544118,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,nrmse_auc_0_1LT,6.21259886229086e-14,5.638129602301486e-14,6.96459611946181e-14,10000,2026,known_physics_forward_surrogate,0.001
pinn_strong,nrmse_auc_0_2LT,1.4587387574813144,1.4440275441502628,1.4744822630787808,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak,nrmse_auc_0_2LT,1.483385739116231,1.4743383208659069,1.4932412808294577,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak_tapered,nrmse_auc_0_2LT,1.4282714364066063,1.4151699287030541,1.4400019577106487,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,nrmse_auc_0_2LT,1.8060970889892907e-13,1.4761608014036585e-13,2.2022785947946044e-13,10000,2026,known_physics_forward_surrogate,0.001
pinn_strong,nrmse_auc_0_5LT,1.8086536214573699,1.7392563842342346,1.8811054584908757,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak,nrmse_auc_0_5LT,2.1894226902626572,2.149316084330293,2.2273542122672043,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak_tapered,nrmse_auc_0_5LT,1.8208023157955557,1.7358709521594102,1.9060137314250205,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,nrmse_auc_0_5LT,1.2785106559323192e-12,1.0854353421053868e-12,1.5067922789905598e-12,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,stability_fraction,1.0,1.0,1.0,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,rq_mmd,0.0005807670202734401,0.0005047934500910002,0.0006517175773963798,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,wasserstein_x,2.4683238286832436e-05,2.151694646233977e-05,2.7618064287081178e-05,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,wasserstein_y,3.7539435542530496e-05,3.199888678650324e-05,4.307573768856915e-05,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,wasserstein_z,4.0746160973895264e-05,3.501777896422521e-05,4.6474542983565326e-05,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,covariance_relative_error,7.808616751649166e-07,5.961494564243232e-07,9.710539393559997e-07,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,lyapunov_spectrum_relative_error,0.005173445603708701,0.0040381789749224396,0.006885703894925039,10000,2026,known_physics_forward_surrogate,0.001
pinn_strong,training_wall_time_seconds,37.59667844499151,35.22825257841187,40.34263121374572,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak,training_wall_time_seconds,22.20353515831133,20.64184007445971,24.360698769095663,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak_tapered,training_wall_time_seconds,33.43089130744338,25.234905223259705,48.182719203848386,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,training_wall_time_seconds,0.0,0.0,0.0,10000,2026,known_physics_forward_surrogate,0.001
pinn_strong,inference_seconds_per_trajectory,0.0004676700802519533,0.00043277324082733763,0.000505982399966609,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak,inference_seconds_per_trajectory,0.0004663885250919999,0.0004418696273932674,0.0004908110796289271,10000,2026,known_physics_forward_surrogate,0.001
pinn_weak_tapered,inference_seconds_per_trajectory,0.0004778024488283334,0.0004453722408894494,0.0005170261354214148,10000,2026,known_physics_forward_surrogate,0.001
solver_oracle,inference_seconds_per_trajectory,0.07915531094865093,0.07687345803773493,0.08156584139137214,10000,2026,known_physics_forward_surrogate,0.001
pinn_strong,vpt_restricted_lt,0.26835442388808134,0.25441028900382867,0.2835355001131371,10000,2026,known_physics_forward_surrogate,0.01
pinn_weak,vpt_restricted_lt,0.18229185136808573,0.1682096310129983,0.19694972519331522,10000,2026,known_physics_forward_surrogate,0.01
